epoch,grad_norm,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.01568258448992394,1.6865004301071167,3.920000000000001e-06,7.7631,50,,,,,,,,,
0.03136516897984788,1.4910447597503662,7.92e-06,7.4503,100,,,,,,,,,
0.047047753469771816,0.8198572397232056,1.1920000000000001e-05,6.8348,150,,,,,,,,,
0.06273033795969576,2.9195291996002197,1.5920000000000003e-05,6.2436,200,,,,,,,,,
0.0784129224496197,0.49607938528060913,1.9920000000000002e-05,5.7807,250,,,,,,,,,
0.09409550693954363,0.43433669209480286,2.392e-05,5.4541,300,,,,,,,,,
0.10977809142946758,0.42482221126556396,2.792e-05,5.2389,350,,,,,,,,,
0.12546067591939153,0.4443816840648651,3.1920000000000006e-05,5.0993,400,,,,,,,,,
0.14114326040931546,0.37235283851623535,3.592e-05,4.9675,450,,,,,,,,,
0.1568258448992394,0.37295523285865784,3.9920000000000004e-05,4.8748,500,,,,,,,,,
0.17250842938916333,0.39496690034866333,3.984002611818479e-05,4.8445,550,,,,,,,,,
0.18819101387908727,0.40493568778038025,3.9676787463271305e-05,4.8152,600,,,,,,,,,
0.2038735983690112,0.37321898341178894,3.951354880835782e-05,4.7871,650,,,,,,,,,
0.21955618285893516,0.39361485838890076,3.935031015344434e-05,4.7744,700,,,,,,,,,
0.2352387673488591,0.38467568159103394,3.9187071498530854e-05,4.7756,750,,,,,,,,,
0.25092135183878306,0.37877514958381653,3.902383284361737e-05,4.7494,800,,,,,,,,,
0.266603936328707,0.3888612687587738,3.8860594188703886e-05,4.7484,850,,,,,,,,,
0.2822865208186309,0.413467675447464,3.869735553379041e-05,4.7412,900,,,,,,,,,
0.29796910530855486,0.39535677433013916,3.853411687887692e-05,4.7446,950,,,,,,,,,
0.3136516897984788,0.40086203813552856,3.8370878223963435e-05,4.7307,1000,,,,,,,,,
0.3136516897984788,,,,1000,4.619456768035889,280.0632,40.462,5.06,,,,,
0.32933427428840273,0.44984063506126404,3.820763956904996e-05,4.7195,1050,,,,,,,,,
0.34501685877832666,0.4283509850502014,3.8044400914136474e-05,4.7246,1100,,,,,,,,,
0.3606994432682506,0.4321720600128174,3.7881162259222983e-05,4.7133,1150,,,,,,,,,
0.37638202775817453,0.37116557359695435,3.7717923604309507e-05,4.7116,1200,,,,,,,,,
0.39206461224809847,0.3831632435321808,3.755468494939602e-05,4.7082,1250,,,,,,,,,
0.4077471967380224,0.412482351064682,3.739144629448254e-05,4.7014,1300,,,,,,,,,
0.4234297812279464,0.46077191829681396,3.722820763956905e-05,4.6976,1350,,,,,,,,,
0.4391123657178703,0.45667925477027893,3.706496898465557e-05,4.7143,1400,,,,,,,,,
0.45479495020779426,0.410407155752182,3.690173032974209e-05,4.6885,1450,,,,,,,,,
0.4704775346977182,0.4372352957725525,3.67384916748286e-05,4.6962,1500,,,,,,,,,
0.4861601191876421,0.4270952641963959,3.657525301991512e-05,4.6912,1550,,,,,,,,,
0.5018427036775661,0.409076988697052,3.6412014365001636e-05,4.6999,1600,,,,,,,,,
0.51752528816749,0.40776634216308594,3.624877571008815e-05,4.6877,1650,,,,,,,,,
0.533207872657414,0.4371771216392517,3.608553705517467e-05,4.6946,1700,,,,,,,,,
0.5488904571473379,0.4184243381023407,3.5922298400261185e-05,4.6958,1750,,,,,,,,,
0.5645730416372619,,3.57590597453477e-05,4.6734,1800,,,,,,,,,
0.5802556261271857,0.4471430778503418,3.559908586353249e-05,4.683,1850,,,,,,,,,
0.5959382106171097,0.4245206117630005,3.5435847208619e-05,4.6684,1900,,,,,,,,,
0.6116207951070336,0.4732247292995453,3.527260855370552e-05,4.688,1950,,,,,,,,,
0.6273033795969576,0.46201902627944946,3.5109369898792035e-05,4.6783,2000,,,,,,,,,
0.6273033795969576,,,,2000,4.58411169052124,281.2117,40.297,5.039,,,,,
0.6429859640868815,0.44097450375556946,3.494613124387855e-05,4.6755,2050,,,,,,,,,
0.6586685485768055,0.4601118862628937,3.478289258896507e-05,4.6631,2100,,,,,,,,,
0.6743511330667294,0.47547563910484314,3.4619653934051584e-05,4.6761,2150,,,,,,,,,
0.6900337175566533,0.5417371392250061,3.445641527913811e-05,4.6556,2200,,,,,,,,,
0.7057163020465773,0.3929346799850464,3.429317662422462e-05,4.6806,2250,,,,,,,,,
0.7213988865365012,0.4486924409866333,3.412993796931113e-05,4.6741,2300,,,,,,,,,
0.7370814710264252,0.40252506732940674,3.3966699314397656e-05,4.6749,2350,,,,,,,,,
0.7527640555163491,0.41984206438064575,3.380346065948417e-05,4.6745,2400,,,,,,,,,
0.768446640006273,0.4312341809272766,3.364022200457068e-05,4.6795,2450,,,,,,,,,
0.7841292244961969,0.541949450969696,3.3476983349657205e-05,4.6627,2500,,,,,,,,,
0.7998118089861209,0.4901038110256195,3.331374469474372e-05,4.6613,2550,,,,,,,,,
0.8154943934760448,0.39730584621429443,3.315050603983023e-05,4.6676,2600,,,,,,,,,
0.8311769779659688,0.4739513099193573,3.2987267384916753e-05,4.6727,2650,,,,,,,,,
0.8468595624558928,0.41419291496276855,3.282402873000327e-05,4.6546,2700,,,,,,,,,
0.8625421469458167,0.5405188798904419,3.2660790075089786e-05,4.6606,2750,,,,,,,,,
0.8782247314357406,0.43723833560943604,3.2497551420176295e-05,4.6682,2800,,,,,,,,,
0.8939073159256645,0.4670291841030121,3.233431276526282e-05,4.6407,2850,,,,,,,,,
